"cl-rfile"
"Iteration" "cl"
("Iteration" "cl")
1 0.004480640573162455
2 0.008736462977226809
3 -0.001040490083113471
4 -0.01698653456329033
5 -0.03864132693429847
6 -0.06216478073641676
7 -0.08260023332033774
8 -0.09643645535907172
9 -0.1006718457369868
10 -0.09242563061497633
11 -0.07353592351271485
12 -0.04732375299494082
13 -0.01925477337758264
14 0.003032332967589411
15 0.02061660740275876
16 0.02602659366794397
17 0.02546428838775042
18 0.02184220255745802
19 0.01492808099972313
20 0.003996156319561922
21 -0.01026319740799362
22 -0.02615086598041448
23 -0.03791889650412755
24 -0.0435230663525215
25 -0.04015686617509921
26 -0.02568578339687148
27 -0.002063187346753433
28 0.03016606349684684
29 0.06742821433932773
30 0.1062986771591512
31 0.1443432108557554
32 0.1780702058097353
33 0.2056261574719173
34 0.224995407022861
35 0.2344362153655974
36 0.2338060023694568
37 0.2246883413546468
38 0.2105314326802504
39 0.1931335468967829
40 0.1744318094496572
41 0.1557450133072753
42 0.1376553674983982
43 0.1213893944335821
44 0.1063405386522975
45 0.09244396947684594
46 0.07946110846251959
47 0.06669151373146086
48 0.05469137435418547
49 0.04344576908171608
50 0.03320435175191171
51 0.02417151703560992
52 0.01658654289600811
53 0.0104344546577601
54 0.005657658654543095
55 0.002079924888025929
56 -0.0005695972048614544
57 -0.002507688137168362
58 -0.004028040716751056
59 -0.005345297549469046
60 -0.006572547554705756
61 -0.007726595805653529
62 -0.008792487349312848
63 -0.009754107652460965
64 -0.0105998562540528
65 -0.01131703639345075
66 -0.01190975071054588
67 -0.01238347329364972
68 -0.01275163459907543
69 -0.0130417844439029
70 -0.01327479948588322
71 -0.01347068278232655
72 -0.01364610051558912
73 -0.01381109292801692
74 -0.01397040006232805
75 -0.01413054426275359
76 -0.01429193909778229
77 -0.01445071049176931
78 -0.01460041021389037
79 -0.01473372694031334
80 -0.01485073922443156
81 -0.01494770604636285
82 -0.01502449125330676
83 -0.01508703718037275
84 -0.01513661115028735
85 -0.01517548712045445
86 -0.01520461307864535
87 -0.0152256887747807
88 -0.01523925965134228
89 -0.01524582025631389
90 -0.01524461598597109
91 -0.0152365214092335
92 -0.01522149869143013
93 -0.01520010242563321
94 -0.01517825509316035
95 -0.01516106405804619
96 -0.01514776445117938
97 -0.01513390932412695
98 -0.01511735426752007
99 -0.0151010875851797
100 -0.01508259155336455
101 -0.01505914393339704
102 -0.01502936977382089
103 -0.0149944252961873
