"cd-rfile"
"Iteration" "cd"
("Iteration" "cd")
1 0.4261543860645834
2 0.4849833310495976
3 0.4188750865912284
4 0.3481574005397927
5 0.3127565821866837
6 0.3186149254955111
7 0.3545950645258084
8 0.4127011109694303
9 0.4761723001842116
10 0.535753757188185
11 0.5849204316913372
12 0.6234410364790506
13 0.6520546663414709
14 0.6734892715894988
15 0.6773691084880048
16 0.6865804934043495
17 0.6980419447262146
18 0.7084182402235608
19 0.7160957243004131
20 0.7230153377647475
21 0.7265057081513474
22 0.72860824928222
23 0.7302930903507099
24 0.731407164468752
25 0.7317490768641636
26 0.7321802594205766
27 0.7325919383823888
28 0.7307255330344762
29 0.7268841378688665
30 0.7210808659831379
31 0.713354796772475
32 0.7046018992616356
33 0.6957995671731034
34 0.686961357653196
35 0.681279441353316
36 0.676036011450722
37 0.6720144807348225
38 0.6685206387244701
39 0.6649323625745758
40 0.6632195387800793
41 0.660526359610204
42 0.6583670377354015
43 0.6548323218461684
44 0.6516444327576287
45 0.6503626963468438
46 0.6503785493565106
47 0.6514492607110077
48 0.6525563231551789
49 0.6532437762109258
50 0.6534474665456039
51 0.6529686130855786
52 0.6518124051310136
53 0.6501393508680982
54 0.6480746917173333
55 0.6458802096046816
56 0.6437708080546863
57 0.6418998075246971
58 0.6403265251894965
59 0.6390549045170411
60 0.6380427521173928
61 0.637301318147559
62 0.6367961328246499
63 0.6364718736316082
64 0.6362800434078915
65 0.6361799618359726
66 0.6361301922692157
67 0.6361054425348103
68 0.6360876340312606
69 0.6360658212231696
70 0.6360365355886295
71 0.6360064351157096
72 0.635976673167808
73 0.635949143540554
74 0.6359225189444426
75 0.6358980522546579
76 0.6358748734662465
77 0.6358570359778336
78 0.6358447062327816
79 0.6358372047334683
80 0.6358434337812925
81 0.6358503254446827
82 0.635859158314218
83 0.6358683975311328
84 0.635881060189309
85 0.6358982150767277
86 0.6359203385883113
87 0.6359466725155223
88 0.6359764235972862
89 0.6360080202136938
90 0.6360409913890849
91 0.6360737653262136
92 0.6361051621867253
93 0.6361337296692973
94 0.6361582033229668
95 0.6361780175167397
96 0.636194841485621
97 0.6362096315484889
98 0.6362229563772133
99 0.6362331645202047
100 0.636241924696343
101 0.6362494151804703
102 0.6362559979248478
103 0.6362612211814852
