"cd-rfile"
"Iteration" "cd"
("Iteration" "cd")
1 -0.03551252833513119
2 -0.09770834207823927
3 -0.163083944324507
4 -0.189694284742098
5 -0.2290488784681616
6 -0.2038104227177882
7 -0.1906236295256142
8 -0.1841465625155809
9 -0.1707318612713657
10 -0.1621017612532321
11 -0.158155997713006
12 -0.1547402927869297
13 -0.1509681145554245
14 -0.1477259562434258
15 -0.1442745579637945
16 -0.1403842160245234
17 -0.1364341221407967
18 -0.1325442357266275
19 -0.128903005667698
20 -0.1256631647381503
21 -0.1227344761881336
22 -0.1202509861716344
23 -0.1182239423793131
24 -0.1165230792351228
25 -0.11507104107032
26 -0.1138382156024008
27 -0.1127987364214817
28 -0.1119267795213758
29 -0.111200989434421
30 -0.1106057800499346
31 -0.1101216360923425
32 -0.1097391641053401
33 -0.1094459528434743
34 -0.1092329251888708
35 -0.1090839062789183
36 -0.1089829702183942
37 -0.1089203134180234
38 -0.1088835950992365
39 -0.1088677440072388
40 -0.1088642797352525
41 -0.1088720095901359
42 -0.1088841745659013
43 -0.1089023467565577
44 -0.1089205408735859
