"cl-rfile"
"Iteration" "cl"
("Iteration" "cl")
1 1.025554306848478
2 1.961554832633301
3 1.877513888475197
4 1.879848649997377
5 1.218744401116818
6 1.126395986092591
7 1.288981134734962
8 1.248736394406728
9 1.231858974414401
10 1.21756468363218
11 1.205382271079135
12 1.179068868457201
13 1.140133785650471
14 1.10655367241052
15 1.071568956761433
16 1.036304979502809
17 1.003430888590463
18 0.9750020897054678
19 0.9510734110165517
20 0.9312405043277462
21 0.9147498416614668
22 0.901604288354193
23 0.8904344708414289
24 0.8807459849937508
25 0.8725949519829107
26 0.8658492354227795
27 0.8604339334108442
28 0.8560964811335522
29 0.8527155647418002
30 0.8501252969461576
31 0.8482074963208183
32 0.8468649472656778
33 0.8460116153479672
34 0.8455682544175674
35 0.8453824150242718
36 0.8453578422255511
37 0.8454302907774794
38 0.8455571139140795
39 0.8457263219047558
40 0.845915081612695
41 0.8461161499822945
42 0.8463174780104484
43 0.846515431181585
44 0.8467011370761864
